title,accuracy,entity_accuracy,predictions,targets
Schnitt durch Terrasse,0.0,{'PER': 0.0},"[Entity(""durch"", PER, (8,13))]",[]
Maisonette / Sandspielplatz,0.0,{'LOC': 0.0},"[Entity(""Maisonette"", LOC, (0,10))]",[]
Profilplan,,{},[],[]
Überbauung in der Au / ohne Titel,0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""in"", LOC, (11,13)), Entity(""der"", PER, (14,17)), Entity(""ohne"", PER, (23,27))]","[Entity(""Au"", LOC, (18,20))]"
Bassin,,{},[],[]
Garten / Projekt,0.0,{'LOC': 0.0},"[Entity(""Garten"", LOC, (0,6))]",[]
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
"Schürmann, Herrn Dr. Richard / ohne Titel",0.0,{'PER': 0.0},"[Entity(""Herrn"", PER, (11,16)), Entity(""ohne"", PER, (31,35))]","[Entity(""Schürmann, Herrn Dr. Richard"", PER, (0,28))]"
Wirkung bei verschiedenen Wassermengen,0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""bei"", LOC, (8,11)), Entity(""verschiedenen"", PER, (12,25))]",[]
Umgebungsarbeiten,,{},[],[]
Umgebung,,{},[],[]
Töchterschule Riesbach / ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (25,29))]",[]
Bepflanzungsvorschlag,,{},[],[]
Badebassin / Schnitt Ansichten,0.0,{'LOC': 0.0},"[Entity(""Badebassin"", LOC, (0,10))]",[]
"von Lick, Herrn",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Lick,"", LOC, (4,9))]","[Entity(""von Lick, Herrn"", PER, (0,15))]"
Gestaltung der Umgebung,,{},[],[]
"Simmen-Schwyzer, Herrn H. / ohne Titel",0.0,{'PER': 0.0},"[Entity(""/"", PER, (26,27)), Entity(""ohne"", PER, (28,32))]","[Entity(""Simmen-Schwyzer, Herrn H."", PER, (0,25))]"
Planskizze,,{},[],[]
Pergolapfosten,,{},[],[]
Wettbewerb,,{},[],[]
Wasserschöpfbrunnen,,{},[],[]
Garage-Anbau,,{},[],[]
Gartengrundriss,,{},[],[]
Friedhof Wangen,0.0,{'LOC': 0.0},[],"[Entity(""Wangen"", LOC, (9,15))]"
Wettbewerb / Sportanlage Situation,0.0,{'LOC': 0.0},"[Entity(""Wettbewerb"", LOC, (0,10))]",[]
Conditorei - Tee Raum / Gartenterrasse / Grundriss,0.0,{'PER': 0.0},"[Entity(""-"", PER, (11,12))]",[]
Umgebung 2. Bauetappe,,{},[],[]
Profile 2. Etappe,,{},[],[]
Umgebung,,{},[],[]
Kirche Bettlach,0.0,{'LOC': 0.0},[],"[Entity(""Bettlach"", LOC, (7,15))]"
Ausführung / ohne Titel,0.0,{'PER': 0.0},"[Entity(""/"", PER, (11,12)), Entity(""ohne"", PER, (13,17))]",[]
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
Personalhaus,,{},[],[]
Farbgebung an Wänden,0.0,{'LOC': 0.0},"[Entity(""Farbgebung"", LOC, (0,10))]",[]
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
Details öffentlicher Brunnen / ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (31,35))]",[]
Sitzbänke aus Granit Detailplan,0.0,{'LOC': 0.0},"[Entity(""Granit"", LOC, (14,20))]",[]
Eingangshof Detail,,{},[],[]
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
Bepflanzung Hof,,{},[],[]
Aussenbeleuchtung,,{},[],[]
"Golfclub Patriziale, Ascona / ohne Titel",0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (30,34))]",[]
Cramer / diverse Negative,0.0,{'PER': 0.0},[],"[Entity(""Cramer"", PER, (0,6))]"
"Burchard, Frau E.",0.0,{'PER': 0.0},[],"[Entity(""Burchard, Frau E."", PER, (0,17))]"
Freies Gymnasium,,{},[],[]
Schulgarten,,{},[],[]
Treppe Entfelderstrasse - Hauptplatz,0.0,{'LOC': 0.0},[],"[Entity(""Entfelderstrasse"", LOC, (7,23))]"
Umgebung,,{},[],[]
Garagenzufahrt,,{},[],[]
Garagenzufahrt,,{},[],[]
Altersbauten Spitalackerpark / Erdgeschoss Situation,0.0,{'LOC': 0.0},[],"[Entity(""Spitalackerpark"", LOC, (13,28))]"
"Proebster, Herrn Dr. W.E.",0.0,{'PER': 0.0},[],"[Entity(""Proebster, Herrn Dr. W.E."", PER, (0,25))]"
Dias Überbauung Homberg,0.0,{'LOC': 0.0},[],"[Entity(""Homberg"", LOC, (16,23))]"
Kirchengemeindezentrum Töss,0.0,{'LOC': 0.0},[],"[Entity(""Töss"", LOC, (23,27))]"
"Hischmann, Herrn R.",0.0,{'PER': 0.0},[],"[Entity(""Hischmann, Herrn R."", PER, (0,19))]"
Friedhof und Kirche Fehraltorf / ohne Titel,0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Friedhof"", LOC, (0,8)), Entity(""Fehraltorf"", LOC, (20,30)), Entity(""ohne"", PER, (33,37))]","[Entity(""Fehraltorf"", LOC, (20,30))]"
Neue Terraingestaltung,,{},[],[]
Lehrerinnenseminar Bernarda,0.0,{'LOC': 0.0},[],"[Entity(""Bernarda"", LOC, (19,27))]"
Dibona AG,,{},[],[]
