title,accuracy,entity_accuracy,predictions,targets
Giesswannerbrunnen Friedhof Gränichen M. 1:10 Cramer Gartenarchitekten BSG. SWB. 22.8.61,0.25,"{'MST': 1.0, 'DATE': 0.0, 'CLT': 0.0, 'LOC': 0.0}","[Entity(""Friedhof"", LOC, (19,27)), Entity(""Gränichen"", LOC, (28,37)), Entity(""1:10"", MST, (41,45)), Entity(""Cramer"", CLT, (46,52)), Entity(""BSG."", LOC, (71,75)), Entity(""SWB."", LOC, (76,80)), Entity(""22.8.61"", DATE, (81,88))]","[Entity(""Gränichen"", LOC, (28,37)), Entity(""1:10"", MST, (41,45))]"
"Herrn Dr. Zuellig Schloss Meienberg Masstab 1:200 E. Cramer, Gartenarchitekt BSG SWB Zürich",0.25,"{'MST': 1.0, 'CLOC': 0.0, 'CLT': 0.0, 'LOC': 0.0}","[Entity(""Herrn"", CLT, (0,5)), Entity(""Dr."", CLT, (6,9)), Entity(""Zuellig"", CLT, (10,17)), Entity(""Meienberg"", LOC, (26,35)), Entity(""1:200"", MST, (44,49)), Entity(""E."", CLT, (50,52)), Entity(""Cramer,"", CLT, (53,60)), Entity(""BSG"", CLT, (77,80)), Entity(""SWB"", CLT, (81,84)), Entity(""Zürich"", LOC, (85,91))]","[Entity(""Herrn Dr. Zuellig"", CLT, (0,17)), Entity(""Meienberg"", LOC, (26,35)), Entity(""1:200"", MST, (44,49)), Entity(""Zürich"", CLOC, (85,91))]"
Sport + Erholungszentrum Tägerhard Wettingen Berechnungsunterlage 5.1,0.0,"{'MST': 0.0, 'CLT': 0.0, 'LOC': 0.0}","[Entity(""Tägerhard"", CLT, (25,34)), Entity(""Wettingen"", LOC, (35,44)), Entity(""5.1"", MST, (66,69))]","[Entity(""Tägerhard Wettingen"", LOC, (25,44))]"
Umgebung Oberflächenentwässerung 1:10,1.0,{'MST': 1.0},"[Entity(""1:10"", MST, (33,37))]","[Entity(""1:10"", MST, (33,37))]"
Herrn A. Wick-Isler Ing. Schnitte Bassin M 1:50 Pl Nr. 3138,0.4166666666666667,"{'MST': 0.5, 'CLT': 0.75, 'LOC': 0.0}","[Entity(""Herrn"", CLT, (0,5)), Entity(""A."", CLT, (6,8)), Entity(""Wick-Isler"", CLT, (9,19)), Entity(""Ing."", CLT, (20,24)), Entity(""Schnitte"", CLT, (25,33)), Entity(""Bassin"", LOC, (34,40)), Entity(""1:50"", MST, (43,47)), Entity(""3138"", MST, (55,59))]","[Entity(""Herrn A. Wick-Isler Ing."", CLT, (0,24)), Entity(""1:50"", MST, (43,47))]"
Detail Eisenhag + Tor 1:20 17.6.1968,0.6666666666666666,"{'MST': 1.0, 'CLOC': 0.0, 'DATE': 1.0}","[Entity(""Eisenhag"", CLOC, (7,15)), Entity(""1:20"", MST, (22,26)), Entity(""17.6.1968"", DATE, (27,36))]","[Entity(""1:20"", MST, (22,26)), Entity(""17.6.1968"", DATE, (27,36))]"
Bruderholzspital Kt. Baselland,1.0,{'LOC': 1.0},"[Entity(""Kt."", LOC, (17,20)), Entity(""Baselland"", LOC, (21,30))]","[Entity(""Kt. Baselland"", LOC, (17,30))]"
Umgebung Mst. 1:500,0.5,"{'MST': 1.0, 'LOC': 0.0}","[Entity(""Umgebung"", LOC, (0,8)), Entity(""1:500"", MST, (14,19))]","[Entity(""1:500"", MST, (14,19))]"
Sport und Erholungszentrum Tägerhard Wettingen | Anpflanzplan 1:200 100-2,0.16666666666666666,"{'MST': 0.5, 'CLT': 0.0, 'LOC': 0.0}","[Entity(""Tägerhard"", CLT, (27,36)), Entity(""Wettingen"", LOC, (37,46)), Entity(""1:200"", MST, (62,67)), Entity(""100-2"", MST, (68,73))]","[Entity(""Tägerhard Wettingen"", LOC, (27,46)), Entity(""1:200"", MST, (62,67))]"
Herrn. Dr. Bein Oberwil Gartensitzplatz 1:50 Variante Holzpflästerung,1.0,"{'MST': 1.0, 'CLT': 1.0, 'LOC': 1.0}","[Entity(""Herrn."", CLT, (0,6)), Entity(""Dr."", CLT, (7,10)), Entity(""Bein"", CLT, (11,15)), Entity(""Oberwil"", LOC, (16,23)), Entity(""1:50"", MST, (40,44))]","[Entity(""Herrn. Dr. Bein"", CLT, (0,15)), Entity(""Oberwil"", LOC, (16,23)), Entity(""1:50"", MST, (40,44))]"
Herr und Frau Ungemach Schnitt-Ansicht 1:10 Sandsteinmauer,0.6666666666666666,"{'MST': 1.0, 'CLT': 1.0, 'LOC': 0.0}","[Entity(""Herr"", CLT, (0,4)), Entity(""und"", CLT, (5,8)), Entity(""Frau"", CLT, (9,13)), Entity(""Ungemach"", CLT, (14,22)), Entity(""1:10"", MST, (39,43)), Entity(""Sandsteinmauer"", LOC, (44,58))]","[Entity(""Herr und Frau Ungemach"", CLT, (0,22)), Entity(""1:10"", MST, (39,43))]"
Garten Familie Steiner Neugestaltung Grundriss,0.5,"{'CLT': 1.0, 'LOC': 0.0}","[Entity(""Familie"", CLT, (7,14)), Entity(""Steiner"", CLT, (15,22)), Entity(""Grundriss"", LOC, (37,46))]","[Entity(""Familie Steiner"", CLT, (7,22))]"
Garten Umgestaltung Studie 1:200,1.0,{'MST': 1.0},"[Entity(""1:200"", MST, (27,32))]","[Entity(""1:200"", MST, (27,32))]"
55 - Garten Gertsch Dietikon Skizze 1:100 8.3.82 N.,0.125,"{'MST': 0.5, 'DATE': 0.0, 'CLT': 0.0, 'LOC': 0.0}","[Entity(""Gertsch"", CLT, (12,19)), Entity(""Dietikon"", CLT, (20,28)), Entity(""1:100"", MST, (36,41)), Entity(""8.3.82"", MST, (42,48))]","[Entity(""Gertsch"", CLT, (12,19)), Entity(""Dietikon"", LOC, (20,28)), Entity(""1:100"", MST, (36,41)), Entity(""8.3.82"", DATE, (42,48))]"
Grundrissskizze Hrn. Dr. Mönchner Vogelperspektive 1:100,0.6666666666666666,"{'MST': 1.0, 'CLT': 1.0, 'LOC': 0.0}","[Entity(""Hrn."", CLT, (16,20)), Entity(""Dr."", CLT, (21,24)), Entity(""Mönchner"", CLT, (25,33)), Entity(""Vogelperspektive"", LOC, (34,50)), Entity(""1:100"", MST, (51,56))]","[Entity(""Hrn. Dr. Mönchner"", CLT, (16,33)), Entity(""1:100"", MST, (51,56))]"
Heckenplan Grundstück Köster Mörschwil,1.0,"{'CLT': 1.0, 'LOC': 1.0}","[Entity(""Köster"", CLT, (22,28)), Entity(""Mörschwil"", LOC, (29,38))]","[Entity(""Köster"", CLT, (22,28)), Entity(""Mörschwil"", LOC, (29,38))]"
"E. Cramer Gartenarchitekt, Wetzikon 2.5.62",0.0,"{'CLOC': 0.0, 'CLT': 0.0, 'MST': 0.0, 'LOC': 0.0, 'DATE': 0.0}","[Entity(""E."", CLT, (0,2)), Entity(""Cramer"", CLT, (3,9)), Entity(""Wetzikon"", LOC, (27,35)), Entity(""2.5.62"", MST, (36,42))]","[Entity(""Wetzikon"", CLOC, (27,35)), Entity(""2.5.62"", DATE, (36,42))]"
"Garten Hr. Schuler, Bonstetten",1.0,"{'CLT': 1.0, 'LOC': 1.0}","[Entity(""Hr."", CLT, (7,10)), Entity(""Schuler,"", CLT, (11,19)), Entity(""Bonstetten"", LOC, (20,30))]","[Entity(""Hr. Schuler"", CLT, (7,18)), Entity(""Bonstetten"", LOC, (20,30))]"
Skizze Gartenplanung Eichhof 1:250,1.0,"{'MST': 1.0, 'LOC': 1.0}","[Entity(""Eichhof"", LOC, (21,28)), Entity(""1:250"", MST, (29,34))]","[Entity(""Eichhof"", LOC, (21,28)), Entity(""1:250"", MST, (29,34))]"
"Hof Frau Dr. lic. iur. Lepek Wettswil, 1:50",1.0,"{'MST': 1.0, 'CLT': 1.0, 'LOC': 1.0}","[Entity(""Frau"", CLT, (4,8)), Entity(""Dr."", CLT, (9,12)), Entity(""lic."", CLT, (13,17)), Entity(""iur."", CLT, (18,22)), Entity(""Lepek"", CLT, (23,28)), Entity(""Wettswil,"", LOC, (29,38)), Entity(""1:50"", MST, (39,43))]","[Entity(""Frau Dr. lic. iur. Lepek"", CLT, (4,28)), Entity(""Wettswil"", LOC, (29,37)), Entity(""1:50"", MST, (39,43))]"
"Anwesen Ruprecht, Uznach",1.0,"{'CLT': 1.0, 'LOC': 1.0}","[Entity(""Ruprecht,"", CLT, (8,17)), Entity(""Uznach"", LOC, (18,24))]","[Entity(""Ruprecht"", CLT, (8,16)), Entity(""Uznach"", LOC, (18,24))]"
Herrn. W. R. Meister Zollikon Gartenhaus Grundriss + Fassade Mst. 1:20,0.4444444444444444,"{'MST': 0.3333333333333333, 'CLT': 1.0, 'LOC': 0.0}","[Entity(""Herrn."", CLT, (0,6)), Entity(""W."", CLT, (7,9)), Entity(""R."", CLT, (10,12)), Entity(""Meister"", CLT, (13,20)), Entity(""Grundriss"", LOC, (41,50)), Entity(""+"", LOC, (51,52)), Entity(""Fassade"", LOC, (53,60)), Entity(""1:20"", MST, (66,70))]","[Entity(""Herrn. W. R. Meister"", CLT, (0,20)), Entity(""Zollikon"", LOC, (21,29)), Entity(""Mst. 1:20"", MST, (61,70))]"
Vorschlag Hof 1:200,1.0,{'MST': 1.0},"[Entity(""1:200"", MST, (14,19))]","[Entity(""1:200"", MST, (14,19))]"
12.10.1955,1.0,{'DATE': 1.0},"[Entity(""12.10.1955"", DATE, (0,10))]","[Entity(""12.10.1955"", DATE, (0,10))]"
