title,accuracy,entity_accuracy,predictions,targets
Giesswannerbrunnen Friedhof Gränichen M. 1:10 Cramer Gartenarchitekten BSG. SWB. 22.8.61,0.4444444444444445,"{'LOC': 0.33333333333333337, 'MST': 1.0, 'DATE': 0.0}","[Entity(""Gränichen"", LOC, (28,37)), Entity(""1:10"", MST, (41,45)), Entity(""Cramer"", LOC, (46,52)), Entity(""Gartenarchitekten"", LOC, (53,70)), Entity(""BSG."", LOC, (71,75)), Entity(""SWB."", LOC, (76,80)), Entity(""22.8.61"", DATE, (81,88))]","[Entity(""Gränichen"", LOC, (28,37)), Entity(""1:10"", MST, (41,45))]"
"Herrn Dr. Zuellig Schloss Meienberg Masstab 1:200 E. Cramer, Gartenarchitekt BSG SWB Zürich",0.7142857142857143,"{'LOC': 0.4, 'CLT': 0.9999999999999999, 'MST': 1.0, 'CLOC': 0.0}","[Entity(""Herrn"", CLT, (0,5)), Entity(""Dr."", CLT, (6,9)), Entity(""Zuellig"", CLT, (10,17)), Entity(""Meienberg"", LOC, (26,35)), Entity(""1:200"", MST, (44,49)), Entity(""E."", CLT, (50,52)), Entity(""Cramer,"", CLT, (53,60)), Entity(""Gartenarchitekt"", LOC, (61,76)), Entity(""SWB"", LOC, (81,84)), Entity(""Zürich"", LOC, (85,91))]","[Entity(""Herrn Dr. Zuellig"", CLT, (0,17)), Entity(""Meienberg"", LOC, (26,35)), Entity(""1:200"", MST, (44,49)), Entity(""Zürich"", CLOC, (85,91))]"
Sport + Erholungszentrum Tägerhard Wettingen Berechnungsunterlage 5.1,0.5,"{'LOC': 0.6666666666666666, 'CLT': 0.0}","[Entity(""Tägerhard"", CLT, (25,34)), Entity(""Wettingen"", LOC, (35,44)), Entity(""5.1"", LOC, (66,69))]","[Entity(""Tägerhard Wettingen"", LOC, (25,44))]"
Umgebung Oberflächenentwässerung 1:10,0.6666666666666666,"{'LOC': 0.0, 'MST': 1.0}","[Entity(""Oberflächenentwässerung"", LOC, (9,32)), Entity(""1:10"", MST, (33,37))]","[Entity(""1:10"", MST, (33,37))]"
Herrn A. Wick-Isler Ing. Schnitte Bassin M 1:50 Pl Nr. 3138,1.0,"{'LOC': 0.0, 'CLT': 1.3333333333333335, 'MST': 1.0}","[Entity(""Herrn"", CLT, (0,5)), Entity(""A."", CLT, (6,8)), Entity(""Wick-Isler"", CLT, (9,19)), Entity(""Ing."", CLT, (20,24)), Entity(""Schnitte"", CLT, (25,33)), Entity(""Bassin"", LOC, (34,40)), Entity(""1:50"", MST, (43,47)), Entity(""3138"", LOC, (55,59))]","[Entity(""Herrn A. Wick-Isler Ing."", CLT, (0,24)), Entity(""1:50"", MST, (43,47))]"
Detail Eisenhag + Tor 1:20 17.6.1968,0.8,"{'DATE': 1.0, 'MST': 1.0, 'CLT': 0.0}","[Entity(""Eisenhag"", CLT, (7,15)), Entity(""1:20"", MST, (22,26)), Entity(""17.6.1968"", DATE, (27,36))]","[Entity(""1:20"", MST, (22,26)), Entity(""17.6.1968"", DATE, (27,36))]"
Bruderholzspital Kt. Baselland,1.3333333333333333,{'LOC': 1.3333333333333333},"[Entity(""Kt."", LOC, (17,20)), Entity(""Baselland"", LOC, (21,30))]","[Entity(""Kt. Baselland"", LOC, (17,30))]"
Umgebung Mst. 1:500,1.0,{'MST': 1.0},"[Entity(""1:500"", MST, (14,19))]","[Entity(""1:500"", MST, (14,19))]"
Sport und Erholungszentrum Tägerhard Wettingen | Anpflanzplan 1:200 100-2,1.0,"{'LOC': 1.3333333333333333, 'MST': 1.0, 'CLT': 0.0}","[Entity(""Tägerhard"", LOC, (27,36)), Entity(""Wettingen"", LOC, (37,46)), Entity(""1:200"", MST, (62,67)), Entity(""100-2"", CLT, (68,73))]","[Entity(""Tägerhard Wettingen"", LOC, (27,46)), Entity(""1:200"", MST, (62,67))]"
Herrn. Dr. Bein Oberwil Gartensitzplatz 1:50 Variante Holzpflästerung,1.0,"{'LOC': 0.5, 'CLT': 1.5, 'MST': 1.0}","[Entity(""Herrn."", CLT, (0,6)), Entity(""Dr."", CLT, (7,10)), Entity(""Bein"", CLT, (11,15)), Entity(""Oberwil"", LOC, (16,23)), Entity(""Gartensitzplatz"", LOC, (24,39)), Entity(""1:50"", MST, (40,44)), Entity(""Holzpflästerung"", LOC, (54,69))]","[Entity(""Herrn. Dr. Bein"", CLT, (0,15)), Entity(""Oberwil"", LOC, (16,23)), Entity(""1:50"", MST, (40,44))]"
Herr und Frau Ungemach Schnitt-Ansicht 1:10 Sandsteinmauer,1.1111111111111112,"{'LOC': 0.0, 'CLT': 1.6, 'MST': 1.0}","[Entity(""Herr"", CLT, (0,4)), Entity(""und"", CLT, (5,8)), Entity(""Frau"", CLT, (9,13)), Entity(""Ungemach"", CLT, (14,22)), Entity(""Schnitt-Ansicht"", LOC, (23,38)), Entity(""1:10"", MST, (39,43)), Entity(""Sandsteinmauer"", LOC, (44,58))]","[Entity(""Herr und Frau Ungemach"", CLT, (0,22)), Entity(""1:10"", MST, (39,43))]"
Garten Familie Steiner Neugestaltung Grundriss,1.0,"{'LOC': 0.0, 'CLT': 1.3333333333333333}","[Entity(""Familie"", CLT, (7,14)), Entity(""Steiner"", CLT, (15,22)), Entity(""Grundriss"", LOC, (37,46))]","[Entity(""Familie Steiner"", CLT, (7,22))]"
Garten Umgestaltung Studie 1:200,1.0,{'MST': 1.0},"[Entity(""1:200"", MST, (27,32))]","[Entity(""1:200"", MST, (27,32))]"
55 - Garten Gertsch Dietikon Skizze 1:100 8.3.82 N.,0.6,"{'LOC': 0.4, 'CLT': 1.0, 'MST': 1.0, 'DATE': 0.0}","[Entity(""Gertsch"", CLT, (12,19)), Entity(""Dietikon"", LOC, (20,28)), Entity(""Skizze"", LOC, (29,35)), Entity(""1:100"", MST, (36,41)), Entity(""8.3.82"", LOC, (42,48)), Entity(""N."", LOC, (49,51))]","[Entity(""Gertsch"", CLT, (12,19)), Entity(""Dietikon"", LOC, (20,28)), Entity(""1:100"", MST, (36,41)), Entity(""8.3.82"", DATE, (42,48))]"
