title,accuracy,entity_accuracy,predictions,targets
Schnitt durch Terrasse,0.0,{'PER': 0.0},"[Entity(""Terrasse"", PER, (14,22))]",[]
Maisonette / Sandspielplatz,0.0,{'MISC': 0.0},"[Entity(""Maisonette /"", MISC, (0,12))]",[]
Profilplan,0.0,{'PER': 0.0},"[Entity(""Profilplan"", PER, (0,10))]",[]
Überbauung in der Au / ohne Titel,0.0,{'LOC': 0.0},[],"[Entity(""Au"", LOC, (18,20))]"
Bassin,0.0,{'PER': 0.0},"[Entity(""Bassin"", PER, (0,6))]",[]
Garten / Projekt,0.0,{'LOC': 0.0},"[Entity(""Garten"", LOC, (0,6))]",[]
ohne Titel,,{},[],[]
"Schürmann, Herrn Dr. Richard / ohne Titel",0.0,{'PER': 0.0},"[Entity(""Schürmann"", PER, (0,9))]","[Entity(""Schürmann, Herrn Dr. Richard"", PER, (0,28))]"
Wirkung bei verschiedenen Wassermengen,,{},[],[]
Umgebungsarbeiten,,{},[],[]
Umgebung,,{},[],[]
Töchterschule Riesbach / ohne Titel,0.0,{'PER': 0.0},"[Entity(""Töchterschule Riesbach"", PER, (0,22))]",[]
Bepflanzungsvorschlag,,{},[],[]
Badebassin / Schnitt Ansichten,0.0,{'PER': 0.0},"[Entity(""Badebassin"", PER, (0,10))]",[]
"von Lick, Herrn",0.0,{'PER': 0.0},"[Entity(""Lick"", PER, (4,8))]","[Entity(""von Lick, Herrn"", PER, (0,15))]"
Gestaltung der Umgebung,,{},[],[]
"Simmen-Schwyzer, Herrn H. / ohne Titel",0.0,{'PER': 0.0},[],"[Entity(""Simmen-Schwyzer, Herrn H."", PER, (0,25))]"
Planskizze,,{},[],[]
Pergolapfosten,,{},[],[]
Wettbewerb,,{},[],[]
Wasserschöpfbrunnen,,{},[],[]
Garage-Anbau,0.0,{'LOC': 0.0},"[Entity(""Garage-Anbau"", LOC, (0,12))]",[]
Gartengrundriss,0.0,{'ORG': 0.0},"[Entity(""Gartengrundriss"", ORG, (0,15))]",[]
Friedhof Wangen,0.0,{'LOC': 0.0},[],"[Entity(""Wangen"", LOC, (9,15))]"
