title,accuracy,entity_accuracy,predictions,targets
Schnitt durch Terrasse,,{},[],[]
Maisonette / Sandspielplatz,0.0,{'LOC': 0.0},"[Entity(""Maisonette /"", LOC, (0,12))]",[]
Profilplan,,{},[],[]
Überbauung in der Au / ohne Titel,0.0,{'LOC': 0.0},[],"[Entity(""Au"", LOC, (18,20))]"
Bassin,0.0,{'LOC': 0.0},"[Entity(""Bassin"", LOC, (0,6))]",[]
Garten / Projekt,,{},"[Entity(""/"", PER, (7,8))]",[]
ohne Titel,,{},[],[]
"Schürmann, Herrn Dr. Richard / ohne Titel",0.0,{'PER': 0.0},"[Entity(""Dr. Richard / ohne Titel"", PER, (17,41))]","[Entity(""Schürmann, Herrn Dr. Richard"", PER, (0,28))]"
Wirkung bei verschiedenen Wassermengen,,{},[],[]
Umgebungsarbeiten,,{},[],[]
Umgebung,,{},[],[]
Töchterschule Riesbach / ohne Titel,,{},[],[]
Bepflanzungsvorschlag,,{},[],[]
Badebassin / Schnitt Ansichten,0.0,{'LOC': 0.0},"[Entity(""Badebassin /"", LOC, (0,12))]",[]
"von Lick, Herrn",0.3333333333333333,{'PER': 0.3333333333333333},"[Entity(""Lick"", PER, (4,8)), Entity("", Herrn"", PER, (8,15))]","[Entity(""von Lick, Herrn"", PER, (0,15))]"
Gestaltung der Umgebung,,{},[],[]
"Simmen-Schwyzer, Herrn H. / ohne Titel",0.0,{'PER': 0.0},[],"[Entity(""Simmen-Schwyzer, Herrn H."", PER, (0,25))]"
Planskizze,,{},[],[]
Pergolapfosten,,{},[],[]
Wettbewerb,,{},[],[]
Wasserschöpfbrunnen,0.0,{'LOC': 0.0},"[Entity(""Wasserschöpfbrunnen"", LOC, (0,19))]",[]
Garage-Anbau,0.0,{'LOC': 0.0},"[Entity(""Garage-Anbau"", LOC, (0,12))]",[]
Gartengrundriss,0.0,{'LOC': 0.0},"[Entity(""Gartengrundriss"", LOC, (0,15))]",[]
Friedhof Wangen,1.0,{'LOC': 1.0},"[Entity(""Wangen"", LOC, (9,15))]","[Entity(""Wangen"", LOC, (9,15))]"
Wettbewerb / Sportanlage Situation,0.0,{'LOC': 0.0},"[Entity(""Situation"", LOC, (25,34))]",[]
Conditorei - Tee Raum / Gartenterrasse / Grundriss,0.0,{'LOC': 0.0},"[Entity(""Conditorei - Tee Raum"", LOC, (0,21)), Entity(""/"", LOC, (22,23))]",[]
Umgebung 2. Bauetappe,0.0,{'LOC': 0.0},"[Entity(""Bauetappe"", LOC, (12,21))]",[]
Profile 2. Etappe,0.0,{'LOC': 0.0},"[Entity(""Etappe"", LOC, (11,17))]",[]
Umgebung,,{},[],[]
Kirche Bettlach,1.0,{'LOC': 1.0},"[Entity(""Bettlach"", LOC, (7,15))]","[Entity(""Bettlach"", LOC, (7,15))]"
Ausführung / ohne Titel,,{},[],[]
ohne Titel,,{},[],[]
Personalhaus,,{},[],[]
Farbgebung an Wänden,0.0,{'LOC': 0.0},"[Entity(""Farbgebung an Wänden"", LOC, (0,20))]",[]
ohne Titel,,{},[],[]
Details öffentlicher Brunnen / ohne Titel,,{},[],[]
Sitzbänke aus Granit Detailplan,0.0,{'LOC': 0.0},"[Entity(""Detailplan"", LOC, (21,31))]",[]
Eingangshof Detail,0.0,{'LOC': 0.0},"[Entity(""Detail"", LOC, (12,18))]",[]
ohne Titel,,{},[],[]
Bepflanzung Hof,,{},[],[]
Aussenbeleuchtung,,{},[],[]
"Golfclub Patriziale, Ascona / ohne Titel",0.0,{'LOC': 0.0},"[Entity(""Ascona / ohne Titel"", LOC, (21,40))]",[]
Cramer / diverse Negative,0.0,{'PER': 0.0},[],"[Entity(""Cramer"", PER, (0,6))]"
"Burchard, Frau E.",0.0,"{'PER': 0.0, 'LOC': 0.0}","[Entity(""Burchard"", PER, (0,8)), Entity(""Frau"", LOC, (10,14))]","[Entity(""Burchard, Frau E."", PER, (0,17))]"
Freies Gymnasium,0.0,{'LOC': 0.0},"[Entity(""Gymnasium"", LOC, (7,16))]",[]
Schulgarten,,{},[],[]
Treppe Entfelderstrasse - Hauptplatz,0.0,{'LOC': 0.0},"[Entity(""- Hauptplatz"", LOC, (24,36))]","[Entity(""Entfelderstrasse"", LOC, (7,23))]"
Umgebung,,{},[],[]
Garagenzufahrt,0.0,{'LOC': 0.0},"[Entity(""Garagenzufahrt"", LOC, (0,14))]",[]
Garagenzufahrt,0.0,{'LOC': 0.0},"[Entity(""Garagenzufahrt"", LOC, (0,14))]",[]
Altersbauten Spitalackerpark / Erdgeschoss Situation,0.0,{'LOC': 0.0},"[Entity(""Spitalackerpark /"", LOC, (13,30)), Entity(""Situation"", LOC, (43,52))]","[Entity(""Spitalackerpark"", LOC, (13,28))]"
"Proebster, Herrn Dr. W.E.",0.5,{'PER': 0.5},"[Entity("", Herrn Dr. W.E."", PER, (9,25))]","[Entity(""Proebster, Herrn Dr. W.E."", PER, (0,25))]"
Dias Überbauung Homberg,0.0,{'LOC': 0.0},"[Entity(""Dias Überbauung Homberg"", LOC, (0,23))]","[Entity(""Homberg"", LOC, (16,23))]"
Kirchengemeindezentrum Töss,1.0,{'LOC': 1.0},"[Entity(""Töss"", LOC, (23,27))]","[Entity(""Töss"", LOC, (23,27))]"
"Hischmann, Herrn R.",0.0,{'PER': 0.0},[],"[Entity(""Hischmann, Herrn R."", PER, (0,19))]"
Friedhof und Kirche Fehraltorf / ohne Titel,0.0,{'LOC': 0.0},"[Entity(""Fehraltorf / ohne Titel"", LOC, (20,43))]","[Entity(""Fehraltorf"", LOC, (20,30))]"
Neue Terraingestaltung,,{},[],[]
Lehrerinnenseminar Bernarda,1.0,{'LOC': 1.0},"[Entity(""Bernarda"", LOC, (19,27))]","[Entity(""Bernarda"", LOC, (19,27))]"
Dibona AG,0.0,{'LOC': 0.0},"[Entity(""Dibona"", LOC, (0,6))]",[]
ohne Titel,,{},[],[]
ohne Titel,,{},[],[]
"Hodel, Herrn J.",0.0,{'PER': 0.0},[],"[Entity(""Hodel, Herrn J."", PER, (0,15))]"
Post Vaduz,0.0,{'LOC': 0.0},"[Entity(""Post Vaduz"", LOC, (0,10))]","[Entity(""Vaduz"", LOC, (5,10))]"
Abänderung Vorschlag B 1,,{},[],[]
