title,accuracy,entity_accuracy,predictions,targets
Giesswannerbrunnen Friedhof Gränichen M. 1:10 Cramer Gartenarchitekten BSG. SWB. 22.8.61,0.4444444444444445,"{'CLT': 0.0, 'LOC': 0.33333333333333337, 'MST': 1.0}","[Entity(""Friedhof"", CLT, (19,27)), Entity(""Gränichen"", LOC, (28,37)), Entity(""1:10"", MST, (41,45)), Entity(""Cramer"", LOC, (46,52)), Entity(""Gartenarchitekten"", LOC, (53,70)), Entity(""BSG."", LOC, (71,75)), Entity(""22.8.61"", LOC, (81,88))]","[Entity(""Gränichen"", LOC, (28,37)), Entity(""1:10"", MST, (41,45))]"
"Herrn Dr. Zuellig Schloss Meienberg Masstab 1:200 E. Cramer, Gartenarchitekt BSG SWB Zürich",0.5714285714285715,"{'CLT': 0.5714285714285714, 'LOC': 0.5, 'MST': 1.0, 'CLOC': 0.0}","[Entity(""Dr."", CLT, (6,9)), Entity(""Zuellig"", CLT, (10,17)), Entity(""Schloss"", CLT, (18,25)), Entity(""Meienberg"", LOC, (26,35)), Entity(""1:200"", MST, (44,49)), Entity(""E."", CLT, (50,52)), Entity(""Cramer,"", CLT, (53,60)), Entity(""Gartenarchitekt"", LOC, (61,76)), Entity(""BSG"", CLT, (77,80)), Entity(""SWB"", LOC, (81,84))]","[Entity(""Herrn Dr. Zuellig"", CLT, (0,17)), Entity(""Meienberg"", LOC, (26,35)), Entity(""1:200"", MST, (44,49)), Entity(""Zürich"", CLOC, (85,91))]"
Sport + Erholungszentrum Tägerhard Wettingen Berechnungsunterlage 5.1,0.0,"{'CLT': 0.0, 'LOC': 0.0}","[Entity(""Erholungszentrum"", CLT, (8,24)), Entity(""Tägerhard"", CLT, (25,34)), Entity(""Wettingen"", CLT, (35,44)), Entity(""Berechnungsunterlage"", LOC, (45,65)), Entity(""5.1"", LOC, (66,69))]","[Entity(""Tägerhard Wettingen"", LOC, (25,44))]"
Umgebung Oberflächenentwässerung 1:10,1.0,{'MST': 1.0},"[Entity(""1:10"", MST, (33,37))]","[Entity(""1:10"", MST, (33,37))]"
Herrn A. Wick-Isler Ing. Schnitte Bassin M 1:50 Pl Nr. 3138,0.7272727272727272,"{'CLT': 1.2, 'LOC': 0.0, 'MST': 1.0}","[Entity(""A."", CLT, (6,8)), Entity(""Wick-Isler"", CLT, (9,19)), Entity(""Ing."", CLT, (20,24)), Entity(""Schnitte"", CLT, (25,33)), Entity(""Bassin"", LOC, (34,40)), Entity(""1:50"", MST, (43,47)), Entity(""Pl"", LOC, (48,50)), Entity(""Nr."", LOC, (51,54)), Entity(""3138"", LOC, (55,59))]","[Entity(""Herrn A. Wick-Isler Ing."", CLT, (0,24)), Entity(""1:50"", MST, (43,47))]"
Detail Eisenhag + Tor 1:20 17.6.1968,0.4,"{'CLT': 0.0, 'LOC': 0.0, 'DATE': 0.0, 'MST': 1.0}","[Entity(""Eisenhag"", CLT, (7,15)), Entity(""1:20"", MST, (22,26)), Entity(""17.6.1968"", LOC, (27,36))]","[Entity(""1:20"", MST, (22,26)), Entity(""17.6.1968"", DATE, (27,36))]"
Bruderholzspital Kt. Baselland,0.5,"{'CLT': 0.0, 'LOC': 1.0}","[Entity(""Bruderholzspital"", CLT, (0,16)), Entity(""Kt."", LOC, (17,20)), Entity(""Baselland"", CLT, (21,30))]","[Entity(""Kt. Baselland"", LOC, (17,30))]"
Umgebung Mst. 1:500,1.0,{'MST': 1.0},"[Entity(""1:500"", MST, (14,19))]","[Entity(""1:500"", MST, (14,19))]"
Sport und Erholungszentrum Tägerhard Wettingen | Anpflanzplan 1:200 100-2,0.3333333333333333,"{'CLT': 0.0, 'LOC': 0.0, 'MST': 1.0}","[Entity(""Tägerhard"", CLT, (27,36)), Entity(""Wettingen"", CLT, (37,46)), Entity(""|"", LOC, (47,48)), Entity(""1:200"", MST, (62,67))]","[Entity(""Tägerhard Wettingen"", LOC, (27,46)), Entity(""1:200"", MST, (62,67))]"
Herrn. Dr. Bein Oberwil Gartensitzplatz 1:50 Variante Holzpflästerung,1.0,"{'CLT': 1.5, 'LOC': 0.5, 'MST': 1.0}","[Entity(""Herrn."", CLT, (0,6)), Entity(""Dr."", CLT, (7,10)), Entity(""Bein"", CLT, (11,15)), Entity(""Oberwil"", LOC, (16,23)), Entity(""1:50"", MST, (40,44)), Entity(""Variante"", LOC, (45,53)), Entity(""Holzpflästerung"", LOC, (54,69))]","[Entity(""Herrn. Dr. Bein"", CLT, (0,15)), Entity(""Oberwil"", LOC, (16,23)), Entity(""1:50"", MST, (40,44))]"
